timestamp,cloud_provider,gpu_model,vram_mb,sm_count,driver_version,hashrate,gpu_utilization_pct,cost_per_hour,cost_per_sec,hash_per_dollar,sample_seconds,wind_up_ms,busy_ms,wind_down_ms,notes
2026-08-01T08:16:22Z,runpod,NVIDIA GeForce RTX 3080 Ti,12288,80,580.65.06,7237290.633333,71.30,0.18,0.0000500000,144745812666.660034,60,,,,gpuTypeId=NVIDIA GeForce RTX 3080 Ti;pod=4exbkxuw781hte;ssh=direct
2026-08-01T08:18:38Z,runpod,NVIDIA GeForce RTX 3090,24576,82,580.126.09,6613452.233333,61.40,0.22,0.0000611111,108220127454.540009,60,,,,gpuTypeId=NVIDIA GeForce RTX 3090;pod=w40modnpa8t6na;ssh=direct
2026-08-01T08:21:18Z,runpod,NVIDIA GeForce RTX 3090 Ti,24564,84,580.65.06,7323359.689655,73.28,0.27,0.0000750000,97644795862.066666,60,,,,gpuTypeId=NVIDIA GeForce RTX 3090 Ti;pod=lflvz4kxqkxsol;ssh=direct
2026-08-01T08:28:49Z,runpod,NVIDIA RTX A2000,6138,26,550.127.05,3161622.600000,84.47,0.12,0.0000333333,94848678000.000000,60,,,,gpuTypeId=NVIDIA RTX A2000;pod=d5ahfwcfoluhz0;ssh=direct
2026-08-01T08:31:16Z,runpod,NVIDIA RTX A4500,20470,56,550.107.02,5767049.900000,52.57,0.19,0.0000527778,109270419157.894745,60,,,,gpuTypeId=NVIDIA RTX A4500;pod=hzmwz9h5b58cbo;ssh=direct
2026-08-01T09:40:00Z,runpod,NVIDIA RTX 4000 Ada Generation,20475,48,560.35.03,7800565.793103,53.76,0.2,0.0000555556,140410184275.854004,60,,,,gpuTypeId=NVIDIA RTX 4000 Ada Generation;pod=m2ydq18u6onk8r;ssh=direct
2026-08-01T10:39:32Z,runpod,NVIDIA GeForce RTX 3080,10240,68,580.95.05,6604543.833333,72.87,0.17,0.0000472222,139860928235.287048,60,,,,gpuTypeId=NVIDIA GeForce RTX 3080;pod=l6v6j20c2bf0jr;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-01T10:43:30Z,runpod,NVIDIA GeForce RTX 3080 Ti,12288,80,580.65.06,6196787.448276,63.76,0.18,0.0000500000,123935748965.520020,60,,,,gpuTypeId=NVIDIA GeForce RTX 3080 Ti;pod=b0dzcmo8tarsno;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-01T10:47:53Z,runpod,NVIDIA GeForce RTX 3090,24576,82,580.65.06,6834865.566667,53.37,0.22,0.0000611111,111843254727.278183,60,,,,gpuTypeId=NVIDIA GeForce RTX 3090;pod=tdmmxojjx85zbn;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-02T03:55:55Z,runpod,NVIDIA RTX A4500,20470,56,580.126.18,5587581.033333,67.63,0.19,0.0000527778,105869956421.046310,60,,,,gpuTypeId=NVIDIA RTX A4500;pod=nk7hljiu43i8gc;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-02T04:02:04Z,runpod,NVIDIA RTX A5000,24564,64,550.144.03,6510972.633333,65.13,0.16,0.0000444444,146496884249.992493,60,,,,gpuTypeId=NVIDIA RTX A5000;pod=sgeizrvavai3lt;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-02T04:09:46Z,runpod,NVIDIA RTX 4000 Ada Generation,20475,48,560.35.03,7669824.448276,53.41,0.2,0.0000555556,138056840068.967987,60,,,,gpuTypeId=NVIDIA RTX 4000 Ada Generation;pod=2o26qc0dczed6h;ssh=direct;miner=git@illuzen/gpu-bench
2026-08-02T04:15:33Z,runpod,NVIDIA RTX 4000 SFF Ada Generation,20475,48,560.35.05,6308176.620690,62.55,0.18,0.0000500000,126163532413.800018,60,,,,gpuTypeId=NVIDIA RTX 4000 SFF Ada Generation;pod=cxdke7crdl03qr;ssh=direct;miner=git@illuzen/gpu-bench
